X,Y
12.855,-0.638
12.855,-0.624
12.855,-0.584
12.855,-0.57
12.868,-0.652
12.868,-0.638
12.868,-0.57
12.868,-0.557
12.882,-0.665
12.882,-0.652
12.895,-0.679
12.895,-0.665
12.909,-0.692
12.909,-0.679
12.923,-0.706
12.923,-0.692
12.936,-0.719
12.936,-0.706
12.95,-0.733
12.95,-0.719
12.963,-0.747
12.963,-0.733
12.977,-0.76
12.977,-0.747
13.126,-0.747
13.126,-0.76
13.14,-0.801
13.14,-0.747
13.153,-0.706
13.153,-0.801
13.167,-0.692
13.167,-0.706
13.18,-0.679
13.18,-0.692
13.194,-0.665
13.194,-0.679
13.208,-0.557
13.208,-0.57
13.208,-0.652
13.208,-0.665
13.221,-0.57
13.221,-0.584
13.221,-0.638
13.221,-0.652
13.235,-0.584
13.235,-0.597
13.235,-0.624
13.235,-0.638
13.248,-0.611
13.248,-0.624
13.886,-0.597
13.886,-0.584
13.886,-0.597
13.886,-0.611
14.022,-0.529
14.022,-0.516
14.036,-0.584
14.036,-0.597
14.036,-0.584
14.036,-0.57
14.036,-0.543
14.036,-0.529
14.036,-0.516
14.036,-0.502
14.049,-0.57
14.049,-0.584
14.049,-0.57
14.049,-0.543
14.049,-0.502
14.049,-0.516
14.063,-0.516
14.063,-0.557
14.117,-0.557
14.117,-0.543
14.117,-0.557
14.117,-0.57
14.171,-0.543
14.171,-0.557
14.171,-0.543
14.171,-0.529
14.185,-0.529
14.185,-0.543
14.185,-0.529
14.185,-0.516
14.199,-0.516
14.199,-0.529
14.199,-0.516
14.199,-0.502
14.212,-0.557
14.212,-0.516
14.212,-0.502
14.212,-0.475
14.226,-0.57
14.226,-0.557
14.226,-0.475
14.226,-0.529
14.226,-0.475
14.226,-0.462
14.239,-0.529
14.239,-0.543
14.239,-0.557
14.239,-0.57
14.239,-0.462
14.239,-0.407
14.253,-0.543
14.253,-0.557
14.253,-0.489
14.253,-0.475
14.253,-0.407
14.253,-0.394
14.266,-0.394
14.266,-0.38
14.28,-0.38
14.28,-0.367
14.294,-0.367
14.294,-0.353
14.307,-0.353
14.307,-0.339
14.321,-0.339
14.321,-0.326
14.334,-0.326
14.334,-0.312
14.348,-0.312
14.348,-0.299
14.361,-0.299
14.361,-0.285
14.375,-0.285
14.375,-0.271
14.47,-0.271
14.47,-0.258
14.47,-0.475
14.47,-0.489
14.484,-0.258
14.484,-0.244
14.497,-0.244
14.497,-0.231
14.524,-0.462
14.524,-0.475
14.551,-0.448
14.551,-0.462
14.565,-0.231
14.565,-0.244
14.565,-0.394
14.565,-0.448
14.579,-0.244
14.579,-0.258
14.579,-0.312
14.579,-0.394
14.592,-0.258
14.592,-0.271
14.592,-0.299
14.592,-0.312
14.606,-0.285
14.606,-0.299
14.66,-0.271
14.66,-0.258
14.66,-0.271
14.66,-0.285
14.945,-0.258
14.945,-0.271
14.945,-0.258
