x_val,y_val
2.5714,0.2875
2.5714,0.3354
2.5714,0.3514
2.5714,3.5456
2.5714,3.5776
2.5874,5.0789
2.5874,5.0469
2.5874,4.9351
2.5874,4.9671
2.5874,3.6734
2.5874,3.6415
2.5874,3.4977
2.5874,3.5456
2.6033,5.0469
2.6033,5.015
2.6033,4.9032
2.6033,4.9351
2.6033,3.6415
2.6033,3.5936
2.6033,3.4498
2.6033,3.4977
2.6193,5.015
2.6193,4.9831
2.6193,4.8713
2.6193,4.9032
2.6193,3.5936
2.6193,3.5456
2.6193,0.3194
2.6193,0.3034
2.6193,0.3514
2.6193,0.3673
2.6193,3.4179
2.6193,3.4498
2.6353,4.9831
2.6353,4.9511
2.6353,4.8553
2.6353,4.8713
2.6353,3.5456
2.6353,3.5137
2.6353,0.3673
2.6353,0.3833
2.6353,3.37
2.6353,3.4179
2.6512,4.9511
2.6512,4.9192
2.6512,4.8233
2.6512,4.8553
2.6512,3.5137
2.6512,3.4658
2.6512,0.3354
2.6512,0.3194
2.6512,3.338
2.6512,3.37
2.6672,4.9192
2.6672,4.8872
2.6672,4.7914
2.6672,4.8233
2.6672,3.4658
2.6672,3.4179
2.6672,0.3833
2.6672,0.3993
2.6672,3.2901
2.6672,3.338
2.6832,4.8872
2.6832,4.8553
2.6832,4.7595
2.6832,4.7914
2.6832,3.4179
2.6832,3.3859
2.6832,0.3514
2.6832,0.3354
2.6832,3.2582
2.6832,3.2901
2.6992,4.8553
2.6992,4.8233
2.6992,4.7275
2.6992,4.7595
2.6992,3.3859
2.6992,3.338
2.6992,0.3993
2.6992,0.4152
2.6992,3.2102
2.6992,3.2582
2.7151,4.8233
2.7151,4.8074
2.7151,4.6956
2.7151,4.7275
2.7151,3.338
2.7151,3.3061
2.7151,0.3673
2.7151,0.3514
2.7151,3.1783
2.7151,3.2102
2.7311,4.8074
2.7311,4.7754
2.7311,4.6636
2.7311,4.6956
2.7311,3.3061
2.7311,3.2582
2.7311,0.4152
2.7311,0.4312
2.7311,3.1304
2.7311,3.1783
2.7471,4.7754
2.7471,4.7435
2.7471,4.6317
2.7471,4.6636
2.7471,3.2582
2.7471,3.2262
2.7471,0.3833
2.7471,0.3673
2.7471,0.4312
2.7471,0.4472
2.7471,3.0984
2.7471,3.1304
2.763,4.7435
2.763,4.7115
2.763,4.5997
2.763,4.6317
2.763,3.2262
2.763,3.1783
2.763,0.3993
2.763,0.3833
2.763,3.0505
2.763,3.0984
2.779,4.7115
2.779,4.6796
2.779,4.5678
2.779,4.5997
2.779,3.1783
2.779,3.1464
2.779,0.4152
2.779,0.3993
2.779,0.4472
2.779,0.4632
2.779,3.0186
2.779,3.0505
2.795,4.6796
2.795,4.6477
2.795,4.5518
2.795,4.5678
