x_val,Y,y_val
1180.541,1.074,-1
1182.418,1.081,-1
1184.328,1.072,-1
1186.263,1.075,-1
1188.141,1.083,-1
1190.038,1.08,-1
1191.959,1.078,-1
1193.892,1.084,-1
1195.817,1.085,-1
1197.739,1.089,-1
1199.715,1.085,-1
1201.726,1.105,-1
1203.795,1.113,-1
1205.894,1.147,-1
1207.925,1.157,-1
1209.905,1.143,-1
1211.867,1.13,-1
1213.832,1.129,-1
1215.766,1.139,-1
1217.696,1.141,-1
1219.585,1.146,-1
1221.575,1.15,-1
1223.506,1.169,-1
1225.427,1.163,-1
1227.382,1.175,-1
1229.346,1.183,-1
1231.31,1.199,-1
1233.38,1.2,-1
1235.491,1.236,-1
1237.5,1.269,-1
1239.476,1.248,-1
1241.434,1.236,-1
1243.442,1.234,-1
1245.38,1.234,-1
1247.331,1.214,-1
1249.349,1.205,-1
1251.296,1.197,-1
1253.264,1.192,-1
1255.215,1.182,-1
1257.199,1.175,-1
1259.133,1.177,-1
1261.063,1.157,-1
1263.054,1.166,-1
1265.132,1.181,-1
1267.174,1.193,-1
1269.205,1.195,-1
1271.135,1.171,-1
1273.101,1.156,-1
1275.063,1.15,-1
1276.972,1.143,-1
1278.968,1.134,-1
1280.937,1.124,-1
1282.89,1.122,-1
1284.894,1.122,-1
1286.857,1.111,-1
1288.831,1.107,-1
1290.815,1.101,-1
1292.82,1.102,-1
1294.93,1.106,-1
1297.029,1.13,-1
1299.085,1.144,-1
1301.131,1.124,-1
1303.153,1.11,-1
1305.212,1.105,-1
1307.266,1.109,-1
1309.299,1.13,-1
1311.3,1.138,-1
1313.266,1.137,-1
1315.276,1.138,-1
1317.294,1.144,-1
1319.308,1.14,-1
1321.326,1.144,-1
1323.307,1.143,-1
1325.361,1.152,-1
1327.512,1.17,-1
1329.578,1.175,-1
1331.588,1.178,-1
1333.551,1.164,-1
1335.563,1.154,-1
1337.575,1.154,-1
1339.523,1.148,-1
1341.529,1.148,-1
1343.518,1.148,-1
1345.528,1.153,-1
1347.526,1.156,-1
1349.526,1.161,-1
1351.536,1.163,-1
1353.567,1.193,-1
1355.576,1.19,-1
1357.696,1.199,-1
1359.806,1.203,-1
1361.883,1.211,-1
1363.956,1.212,-1
1365.996,1.216,-1
1368.028,1.231,-1
1370.066,1.233,-1
1372.149,1.233,-1
1374.283,1.228,-1
1376.474,1.208,-1
1378.796,1.489,-1
1380.986,1.213,-1
1383.236,1.216,-1
1385.42,1.206,-1
1387.612,1.206,-1
1389.856,1.209,-1
1392.055,1.214,-1
1394.19,1.197,-1
1396.257,1.174,-1
1398.358,1.156,-1
1400.411,1.143,-1
1402.458,1.126,-1
1404.518,1.124,-1
1406.585,1.11,-1
1408.67,1.11,-1
1410.75,1.109,-1
1412.869,1.105,-1
1414.953,1.153,-1
1416.91,1.15,-1
1418.928,1.149,-1
1421.089,1.157,-1
1423.21,1.168,-1
1425.317,1.172,-1
1427.407,1.174,-1
1429.549,1.166,-1
1431.661,1.165,-1
1433.823,1.149,-1
1436.019,1.143,-1
1438.201,1.131,-1
1440.394,1.125,-1
1442.607,1.119,-1
1444.817,1.107,-1
1447.061,1.102,-1
1449.299,1.102,-1
1451.608,1.103,-1
1453.975,1.122,-1
1456.338,1.135,-1
1458.607,1.145,-1
1460.894,1.134,-1
1463.19,1.144,-1
1465.453,1.136,-1
1467.745,1.142,-1
1470.043,1.142,-1
1472.349,1.15,-1
1474.619,1.147,-1
1476.908,1.15,-1
1479.151,1.154,-1
1481.388,1.155,-1
1483.694,1.165,-1
1486.081,1.175,-1
1488.439,1.185,-1
1490.7,1.189,-1
1492.966,1.176,-1
1495.212,1.189,-1
1497.479,1.18,-1
1499.681,1.203,-1
1501.928,1.21,-1
1504.154,1.204,-1
1506.363,1.202,-1
1508.597,1.205,-1
1510.804,1.202,-1
1513.014,1.2,-1
1515.265,1.196,-1
1517.556,1.208,-1
1519.918,1.229,-1
1522.261,1.247,-1
1524.52,1.229,-1
1526.781,1.215,-1
1529.091,1.204,-1
1531.296,1.195,-1
1533.61,1.197,-1
1535.906,1.183,-1
1538.163,1.173,-1
1540.444,1.178,-1
1542.749,1.172,-1
1545,1.168,-1
1547.285,1.164,-1
1549.67,1.173,-1
1552.084,1.192,-1
1554.441,1.212,-1
1556.764,1.168,-1
1559.031,1.151,-1
1561.239,1.147,-1
1563.529,1.138,-1
1565.801,1.134,-1
1568.043,1.139,-1
1570.32,1.135,-1
1572.576,1.13,-1
1574.821,1.138,-1
1577.105,1.143,-1
1579.326,1.154,-1
1581.629,1.168,-1
1584.05,1.196,-1
1586.395,1.238,-1
1588.643,1.236,-1
1590.932,1.233,-1
1593.13,1.229,-1
1595.489,1.223,-1
1597.79,1.211,-1
1600.095,1.211,-1
1602.39,1.214,-1
1604.673,1.212,-1
1606.998,1.215,-1
1609.27,1.227,-1
1611.557,1.21,-1
1613.882,1.213,-1
1616.259,1.218,-1
1618.679,1.237,-1
1620.806,1.216,-1
1623.301,1.22,-1
1625.566,1.216,-1
1627.864,1.183,-1
1630.117,1.162,-1
1632.373,1.158,-1
1634.716,1.145,-1
1636.995,1.136,-1
1639.281,1.116,-1
1641.57,1.101,-1
1643.906,1.088,-1
1646.218,1.059,-1
1648.642,1.076,-1
1651.074,1.091,-1
1653.489,1.073,-1
1655.827,1.075,-1
1658.224,0.982,-1
1660.559,1.033,-1
1662.956,1.012,-1
1665.359,1,-1
1667.757,0.98,-1
1670.168,0.973,-1
1672.556,0.969,-1
1674.952,0.961,-1
1677.372,0.936,-1
1679.779,0.934,-1
1682.3,0.939,-1
1684.912,0.946,-1
1687.421,0.943,-1
1689.826,0.906,-1
1692.281,0.881,-1
1694.764,0.862,-1
1697.169,0.84,-1
1699.687,0.844,-1
1702.182,0.824,-1
1704.658,0.817,-1
1707.122,0.801,-1
1709.599,0.794,-1
1712.06,0.767,-1
1714.527,0.742,-1
1717.119,0.741,-1
1719.697,0.743,-1
1722.19,0.732,-1
1724.625,0.694,-1
1727.111,0.663,-1
1729.54,0.644,-1
1731.985,0.629,-1
1734.461,0.623,-1
1736.913,0.619,-1
1739.388,0.622,-1
1741.895,0.625,-1
1744.419,0.621,-1
1749.907,0.663,-1
