x_val,Y,y_val
1709.629,0.777,-1
1711.975,0.777,-1
1714.456,0.777,-1
1716.87,0.75,-1
1719.27,0.75,-1
1721.642,0.723,-1
1724.097,0.682,-1
1729.06,0.695,-1
1731.638,0.736,-1
1736.587,0.709,-1
1741.537,0.655,-1
1744.06,0.6,-1
1751.669,0.573,-1
1754.177,0.573,-1
1756.687,0.573,-1
1759.168,0.518,-1
1761.732,0.518,-1
1764.323,0.518,-1
1767.132,0.573,-1
1772.272,0.545,-1
1777.44,0.436,-1
1782.513,0.45,-1
1785.185,0.45,-1
1787.776,0.395,-1
1790.34,0.395,-1
1792.985,0.395,-1
1795.576,0.382,-1
1798.085,0.355,-1
1800.866,0.327,-1
1803.594,0.341,-1
1806.212,0.341,-1
1808.734,0.3,-1
1811.339,0.245,-1
1813.902,0.245,-1
1816.466,0.191,-1
1819.002,0.245,-1
1821.607,0.177,-1
1824.225,0.245,-1
1826.843,0.218,-1
1829.42,0.232,-1
1835.256,0.273,-1
1837.983,0.191,-1
1840.683,0.245,-1
1843.301,0.273,-1
1845.865,0.245,-1
1622.878,0.791,-1
1670.999,0.873,-1
1699.962,0.818,-1
1704.898,0.777,-1
1726.579,0.655,-1
1734.051,0.709,-1
1739.205,0.627,-1
1746.951,0.614,-1
1749.555,0.614,-1
1769.641,0.545,-1
1774.849,0.491,-1
1780.031,0.409,-1
